airline_name,source,destination,date_of_journey,departure_time,arrival_time,duration,total_ s,route,target_variable_price
 GoAir,DEL,BOM,07-Jun,06:00,08:10,2h 10,0,,5460
 GoAir,DEL,BOM,07-Jun,02:40,04:50,2h 10,0,,5460
 GoAir,DEL,BOM,07-Jun,20:45,22:55,2h 10,0,,5460
 GoAir,DEL,BOM,07-Jun,07:00,09:15,2h 15,0,,5460
 AirAsia India,DEL,BOM,07-Jun,13:00,14:50,1h 50,0,,6918
 Vistara,DEL,BOM,07-Jun,06:00,08:00,2h,0,,6902
 GoAir,DEL,BOM,07-Jun,14:00,16:10,2h 10,0,,6426
 IndiGo,DEL,BOM,07-Jun,23:35,01:40,2h 05,0,,6895
 GoAir,DEL,BOM,07-Jun,22:45,01:00,2h 15,0,,6426
 GoAir,DEL,BOM,07-Jun,09:00,11:15,2h 15,0,,6426
 GoAir,DEL,BOM,07-Jun,18:45,21:00,2h 15,0,,6426
 GoAir,DEL,BOM,07-Jun,15:45,18:00,2h 15,0,,6426
 IndiGo,DEL,BOM,07-Jun,11:55,13:55,2h,0,,7283
 IndiGo,DEL,BOM,07-Jun,05:30,07:40,2h 10,0,,6895
 AirAsia India,DEL,BOM,07-Jun,04:25,06:35,2h 10,0,,6918
 IndiGo,DEL,BOM,07-Jun,07:20,09:25,2h 05,0,,7283
 IndiGo,DEL,BOM,07-Jun,10:45,12:50,2h 05,0,,7283
 IndiGo,DEL,BOM,07-Jun,17:00,19:05,2h 05,0,,7283
 IndiGo,DEL,BOM,07-Jun,06:30,08:35,2h 05,0,,7283
 SpiceJet,DEL,BOM,07-Jun,19:45,22:00,2h 15,0,,6755
 SpiceJet,DEL,BOM,07-Jun,07:20,09:35,2h 15,0,,6755
 SpiceJet,DEL,BOM,07-Jun,21:40,23:55,2h 15,0,,6755
 SpiceJet,DEL,BOM,07-Jun,18:55,21:10,2h 15,0,,6755
 Vistara,DEL,BOM,07-Jun,09:30,11:35,2h 05,0,,7332
 Vistara,DEL,BOM,07-Jun,14:20,16:30,2h 10,0,,7187
 Vistara,DEL,BOM,07-Jun,21:30,23:30,2h,0,,7795
 IndiGo,DEL,BOM,07-Jun,15:25,17:35,2h 10,0,,7283
 IndiGo,DEL,BOM,07-Jun,14:10,16:20,2h 10,0,,7283
 IndiGo,DEL,BOM,07-Jun,16:15,18:25,2h 10,0,,7283
 Vistara,DEL,BOM,07-Jun,12:50,15:00,2h 10,0,,7366
 Vistara,DEL,BOM,07-Jun,15:30,17:40,2h 10,0,,7366
 GoAir,DEL,BOM,07-Jun,20:55,23:25,2h 30,0,,6426
 Air India,DEL,BOM,07-Jun,07:00,09:05,2h 05,0,,7748
 IndiGo,DEL,BOM,07-Jun,18:10,20:25,2h 15,0,,7283
 IndiGo,DEL,BOM,07-Jun,08:45,11:00,2h 15,0,,7283
 Vistara,DEL,BOM,07-Jun,10:20,12:35,2h 15,0,,7366
 Vistara,DEL,BOM,07-Jun,08:50,11:10,2h 20,0,,7187
 Vistara,DEL,BOM,07-Jun,11:40,14:00,2h 20,0,,7187
 Air India,DEL,BOM,07-Jun,20:00,22:10,2h 10,0,,7748
 Air India,DEL,BOM,07-Jun,08:00,10:10,2h 10,0,,7748
 Vistara,DEL,BOM,07-Jun,19:45,21:55,2h 10,0,,7795
 IndiGo,DEL,BOM,07-Jun,08:00,10:20,2h 20,0,,7283
 Vistara,DEL,BOM,07-Jun,18:55,21:15,2h 20,0,,7300
 Vistara,DEL,BOM,07-Jun,17:45,20:05,2h 20,0,,7300
 Vistara,DEL,BOM,07-Jun,16:45,19:05,2h 20,0,,7366
 Air India,DEL,BOM,07-Jun,14:00,16:15,2h 15,0,,7748
 Air India,DEL,BOM,07-Jun,19:00,21:15,2h 15,0,,7748
 IndiGo,DEL,BOM,07-Jun,21:45,00:10,2h 25,0,,7283
 IndiGo,DEL,BOM,07-Jun,09:35,12:00,2h 25,0,,7283
 Vistara,DEL,BOM,07-Jun,20:40,22:50,2h 10,0,,8320
 Air India,DEL,BOM,07-Jun,21:15,23:35,2h 20,0,,7748
 Vistara,DEL,BOM,07-Jun,07:30,09:45,2h 15,0,,8320
 IndiGo,DEL,BOM,07-Jun,19:45,21:55,2h 10,0,,9015
 Air India,DEL,BOM,07-Jun,10:00,12:35,2h 35,0,,7748
 Novaturas,DEL,BOM,07-Jun,20:45,22:55,2h 10,0,,10225
 Novaturas,DEL,BOM,07-Jun,06:00,08:10,2h 10,0,,10225
 Novaturas,DEL,BOM,07-Jun,02:40,04:50,2h 10,0,,10225
 Novaturas,DEL,BOM,07-Jun,18:45,21:00,2h 15,0,,10225
 Novaturas,DEL,BOM,07-Jun,07:00,09:15,2h 15,0,,10225
 Novaturas,DEL,BOM,07-Jun,09:00,11:15,2h 15,0,,10225
 Novaturas,DEL,BOM,07-Jun,15:45,18:00,2h 15,0,,10225
 Novaturas,DEL,BOM,07-Jun,22:45,01:00,2h 15,0,,10225
 Air India,DEL,BOM,07-Jun,15:05,18:10,3h 05,1, IDR,7748
 Novaturas,DEL,BOM,07-Jun,20:55,23:25,2h 30,0,,10225
 Air India,DEL,BOM,07-Jun,17:55,22:10,4h 15,1, IXU,7748
 Hahn Air Systems,DEL,BOM,07-Jun,07:20,09:35,2h 15,0,,18959
 Hahn Air Systems,DEL,BOM,07-Jun,21:40,23:55,2h 15,0,,18959
 Hahn Air Systems,DEL,BOM,07-Jun,18:55,21:10,2h 15,0,,18959
 Hahn Air Systems,DEL,BOM,07-Jun,19:45,22:00,2h 15,0,,18959
